,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000118011,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000052595,0,4,2,0,0,0,1,0,0,0
ENSMUSG00000114443,1,2,1,0,0,3,0,1,0,0
ENSMUSG00000118366,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000024887,35,35,45,55,243,62,53,27,87,524
ENSMUSG00000040451,136,163,222,195,332,168,210,169,251,526
ENSMUSG00000118064,1,1,1,0,2,3,4,1,1,1
ENSMUSG00000118355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118329,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062456,4820,3720,2528,2508,1449,3099,3454,3571,2971,2166
ENSMUSG00000024896,306,347,298,425,603,426,407,458,479,502
ENSMUSG00000118106,12,11,4,6,4,2,6,4,12,1
ENSMUSG00000024899,15,33,37,40,152,28,42,20,66,158
ENSMUSG00000013662,1562,1415,1307,1510,1824,2003,1335,1277,1582,1994
ENSMUSG00000013663,1971,1949,2169,2836,3383,2404,2098,1660,2655,2119
ENSMUSG00002074891,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117664,0,0,0,0,1,0,1,0,0,0
ENSMUSG00000118196,0,0,1,0,1,0,2,2,1,0
ENSMUSG00000071573,10,11,6,15,20,27,18,15,16,19
ENSMUSG00000106278,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087112,1,1,3,3,3,6,2,2,3,2
ENSMUSG00000118289,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086875,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079344,3,7,0,0,0,17,8,0,0,0
ENSMUSG00000118121,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024766,95,67,112,100,86,140,81,113,168,192
ENSMUSG00000118513,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075994,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000086812,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118360,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117667,3,1,2,3,1,3,0,0,1,2
ENSMUSG00000085924,3,3,0,0,1,3,3,0,0,0
ENSMUSG00000087303,10,10,2,1,2,25,15,2,2,3
ENSMUSG00000079342,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037603,19,10,9,6,7,15,14,9,6,16
ENSMUSG00000085934,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117821,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065380,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024768,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000024771,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118302,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000024770,0,0,0,0,1,0,0,0,1,0
ENSMUSG00002075813,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056078,0,0,0,0,0,0,0,0,0,0
